ICE;IAMOT
Abdul Rahman Abdel Razek, Furtwangen University, Germany;Osman Ahmed (President)
Adina Astilean, Technical University of Cluj-Napoca, Faculty of Automation and Computer Science, Romania;Pacific Northwest National Laboratory, USA
Adrien Lecossier, Arts & Métiers ParisTech, France;Tarek Khalil (IAMOT founder)
Alain Zarli, R2M – ECTP, France;President, Nile University, Egypt
Aldora Gabriela Fernandes, University of Minho, Portugal;Amrik Sohal
Aleš Suban, bwcon, Slovenia;Monash University, Australia
Alexander Smirnov, SPIIRAS, Russia;Anthon Botha
Alexandra Pehlken, CvO University Oldenburg, Germany;University Of Pretoria, South Africa
Alexandra Seco Rodrigues, TIIS.pt, Portugal;Charlette Geffen
Ali Ahmad Malik, University of Southern Denmark, Mads Clausen Institute, Denmark;Pacific Northwest National Laboratory, USA
Ana Margarida Trigo, IEEE WIE Portugal Section, Affinity Group Women in Engineering, Portugal;Daniel Berg
Anabela Gonçalves Pronto, UNINOVA-Centro de Tecnologia e Sistemas, Centro de Tecnologia e Sistemas, Portugal;University of Miami
Andreas Helferich, highQ Professional Services GmbH, Germany;David Bennett
Anna Nagl, Aalen University, Germany;Chalmers University of Technology, Sweden
Antonio Amaral, IPVC, Portugal;Dominique Jolly
Antonio Grilo, FCT NOVA, Portugal;Webster University, Geneve
Arturo Molina, Tecnologico de Monterrey, Vice-presidency of Research and Technology Transfer, Mexico;Ed Sweeney
Babis   Magoutas, ICCS-NTUA, Greece;AstonUniversity, UK
Barbara Flügge, SAP, Industry Cloud, Switzerland;Eduardo Vasconcellos
Bernhard Kölmel, Hochschule Pforzheim, Germany;University of Sào Paulo, Brazil
Brendan Galbraith, IEEE TEMS and Zayed University, UAE;Essam Radwan
Brigitte Trousse, INRIA & France Living Labs, France;University of Central Florida
Brunelle Marche, Université de Lorraine, ERPI, France;Fred Betz
Bruno Ristok, C&S Institut in der C&S AG, Germany;Fredrick Betz
Caglar Ucler, Ozyegin University, Turkey;Former NSF, Washington State
"Calin Ciufudean, “Stefan cel Mare"" University, Romania";Fuijo Niwa
Camelia Avram, Technical University of Cluj Napoca, Automation, Romania;Jan-Harm C. Pretorius
Carlos Coutinho, ISCTE_IUL,  ISTAR,  Caixa Magica Software, Portugal;University of Pretoria, South Africa
Carlos  Agostinho, UNINOVA, Portugal;Jeff Butler
Carsten Lanquillon, Heilbronn University, Business Information Systems, Germany;Manchester Bussines School – UK
Christian Bartelt, University of Mannheim, Institute for Enterrprise Systems, Germany;Jeffrey A. Baetz, IBM
Christian-Andreas Schumann, West Saxon University of Zwickau, Institute for Management and Information, Germany;Jim Sphorer, IBM
